DrawScene total: 12ms | BG: 0ms | Map: 12ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 38ms | BG: 0ms | Map: 38ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 20ms | BG: 0ms | Map: 20ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 8ms | BG: 0ms | Map: 8ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 35ms | BG: 0ms | Map: 35ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 32ms | BG: 0ms | Map: 31ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 240ms | BG: 0ms | Map: 240ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 293ms | BG: 0ms | Map: 291ms | Light: 2ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 228ms | BG: 0ms | Map: 227ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 18ms | BG: 0ms | Map: 17ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 108ms | BG: 0ms | Map: 107ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 203ms | BG: 0ms | Map: 202ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 171ms | BG: 0ms | Map: 170ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 29ms | BG: 0ms | Map: 28ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 138ms | BG: 0ms | Map: 136ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 69ms | BG: 0ms | Map: 67ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 43ms | BG: 0ms | Map: 42ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 22ms | BG: 0ms | Map: 21ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 24ms | BG: 0ms | Map: 24ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 99ms | BG: 0ms | Map: 98ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 106ms | BG: 0ms | Map: 105ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 83ms | BG: 0ms | Map: 82ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 51ms | BG: 0ms | Map: 50ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 12ms | BG: 0ms | Map: 12ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 13ms | BG: 0ms | Map: 12ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 8ms | BG: 0ms | Map: 0ms | Light: 8ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 5514ms | BG: 0ms | Map: 5512ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 35ms | BG: 0ms | Map: 33ms | Light: 2ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 26ms | BG: 0ms | Map: 24ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 30ms | BG: 0ms | Map: 29ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 31ms | BG: 0ms | Map: 30ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 28ms | BG: 0ms | Map: 26ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 17ms | BG: 0ms | Map: 16ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 17ms | BG: 0ms | Map: 17ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 20ms | BG: 0ms | Map: 19ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 12ms | BG: 0ms | Map: 11ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 13ms | BG: 0ms | Map: 13ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 14ms | BG: 0ms | Map: 13ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 14ms | BG: 0ms | Map: 13ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 14ms | BG: 0ms | Map: 13ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 19ms | BG: 0ms | Map: 18ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 19ms | BG: 0ms | Map: 18ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 17ms | BG: 0ms | Map: 17ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 23ms | BG: 0ms | Map: 22ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 19ms | BG: 0ms | Map: 18ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 29ms | BG: 0ms | Map: 28ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 37ms | BG: 0ms | Map: 36ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 459ms | BG: 0ms | Map: 456ms | Light: 2ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 42ms | BG: 0ms | Map: 39ms | Light: 2ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 153ms | BG: 0ms | Map: 151ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 41ms | BG: 0ms | Map: 39ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 23ms | BG: 0ms | Map: 21ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 24ms | BG: 0ms | Map: 23ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 24ms | BG: 0ms | Map: 23ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 39ms | BG: 0ms | Map: 37ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 18ms | BG: 0ms | Map: 17ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 19ms | BG: 0ms | Map: 18ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 18ms | BG: 0ms | Map: 17ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 19ms | BG: 0ms | Map: 18ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
